Name,Start,End,Symbol
Baltimore Colts,1970,1983,IND
Boston Patriots,1970,1970,NEP
Buffalo Bills,1970,2020,BUF
Miami Dolphins,1970,2020,MIA
New York Jets,1970,2020,NYJ
Cincinnati Bengals,1970,2020,CIN
Cleveland Browns,1970,1995,BAL
Houston Oilers,1970,1996,TEN
Pittsburgh Steelers,1970,2017,PIT
Denver Broncos,1970,2020,DEN
Kansas City Chiefs,1970,2020,KCC
Oakland Raiders,1970,1981,OAK
San Diego Chargers,1970,2016,SDC
Dallas Cowboys,1970,2020,DAL
New York Giants,1970,2020,NYG
Philadelphia Eagles,1970,2020,PHI
St. Louis Cardinals,1970,1987,ARI
Washington Redskins,1970,2019,WAS
Chicago Bears,1970,2020,CHI
Detroit Lions,1970,2020,DET
Green Bay Packers,1970,2020,GBP
Minnesota Vikings,1970,2020,MIN
Atlanta Falcons,1970,2020,ATL
Los Angeles Rams,1970,1994,LAR
New Orleans Saints,1970,2020,NOS
San Francisco 49ers,1970,2020,SFF
New England Patriots,1971,2020,NEP
Seattle Seahawks,1976,2020,SEA
Tampa Bay Buccaneers,1976,2020,TBB
Los Angeles Raiders,1982,1994,OAK
Indianapolis Colts,1984,2020,IND
Phoenix Cardinals,1988,1993,ARI
Arizona Cardinals,1994,2020,ARI
Carolina Panthers,1995,2020,CAR
Jacksonville Jaguars,1995,2020,JAC
Oakland Raiders,1995,2019,OAK
St. Louis Rams,1995,2015,LAR
Baltimore Ravens,1996,2020,BAL
Tennessee Oilers,1997,1998,TEN
Tennessee Titans,1999,2020,TEN
Cleveland Browns,1999,2020,CLE
Houston Texans,2002,2020,HOU
Los Angeles Rams,2016,2020,LAR
Los Angeles Chargers,2017,2020,SDC
Washington Football Team,2020,2020,WAS
Las Vegas Raiders,2020,2020,OAK
